RNK,first,last,TEAM,POS,TYPE,    K,    W,  ERA, WHIP, SVHD
1,Clayton,Kershaw,LAD,SP,ROCK,254,19,2.19,0.86,0
2,Max,Scherzer,Wsh,SP,SLUG,272,17,2.99,1.01,0
3,Madison,Bumgarner,SF,SP,ROCK,234,17,2.77,1.05,0
4,Chris,Sale,Bos,SP,SCHR,228,16,3.57,1.11,0
5,Corey,Kluber,Cle,SP,CV,233,15,3.3,1.08,0
6,Jake,Arrieta,ChC,SP,SLUG,194,15,3,1.05,0
7,Noah,Syndergaard,NYM,SP,CV,226,14,2.91,1.11,0
8,David,Price,Bos,SP,SCHR,223,16,3.5,1.17,0
9,Justin,Verlander,Det,SP,FWB,213,16,3.21,1.1,0
10,Jon,Lester,ChC,SP,GS,192,16,2.93,1.08,0
11,Johnny,Cueto,SF,SP,SB,192,15,3.12,1.12,0
12,Chris,Archer,TB,SP,GS,233,14,3.34,1.2,0
13,Carlos,Carrasco,Cle,SP,ZADZ,200,13,3.22,1.1,0
14,Yu,Darvish,Tex,SP,ZADZ,201,13,3.33,1.21,0
15,Stephen,Strasburg,Wsh,SP,FWB,183,11,3.28,1.13,0
16,Jacob,deGrom,NYM,SP,MS,168,12,3.19,1.17,0
17,Kenley,Jansen,LAD,RP,SLUG,93,4,2.28,0.81,43
18,Carlos,Martinez,StL,SP,GS,181,14,3.16,1.23,0
19,Zach,Britton,Bal,RP,ROCK,75,4,1.72,0.93,43
20,Aroldis,Chapman,NYY,RP,SLUG,111,4,1.83,0.99,42
21,Kyle,Hendricks,ChC,SP,SLUG,160,14,3.14,1.11,0
22,Mark,Melancon,SF,RP,SCHR,66,4,2.31,0.97,39
23,Zack,Greinke,Ari,SP,ROCK,173,13,3.64,1.2,0
24,Masahiro,Tanaka,NYY,SP,CV,187,14,3.25,1.09,0
25,Gerrit,Cole,Pit,SP,ZADZ,155,12,3.46,1.25,0
26,Roberto,Osuna,Tor,RP,SLUG,81,4,3.04,0.97,37
27,Jose,Quintana,CWS,SP,SCHR,178,13,3.47,1.22,0
28,Kenta,Maeda,LAD,SP,SHAW,164,11,3.53,1.16,0
29,Cole,Hamels,Tex,SP,SHAW,202,14,3.57,1.29,0
30,Kevin,Gausman,Bal,SP,ZADZ,183,12,3.52,1.21,0
31,Craig,Kimbrel,Bos,RP,ROCK,80,4,2.95,1.13,39
32,Edwin,Diaz,Sea,RP,SCHR,87,4,3,1.12,42
33,Wade,Davis,ChC,RP,FWB,80,4,2.05,1.03,37
34,Rick,Porcello,Bos,SP,SB,168,15,3.56,1.16,0
35,Aaron,Sanchez,Tor,SP,SLUG,164,14,3.34,1.27,0
36,Jeurys,Familia,NYM,RP,MS,64,3,2.75,1.14,38
37,Julio,Teheran,Atl,SP,CV,181,12,3.56,1.18,0
38,Felix,Hernandez,Sea,SP,MS,174,12,3.66,1.24,0
39,Ken,Giles,Hou,RP,ZADZ,98,4,3,1.19,37
40,Danny,Duffy,KC,"SP,",MS,200,14,3.28,1.16,0
41,Danny,Salazar,Cle,SP,SCHR,182,10,3.86,1.32,0
42,Andrew,Miller,Cle,RP,SCHR,97,5,1.97,0.84,31
43,Seung,Hwan,"Oh,",,ROCK,95,5,2.34,0.97,41
44,John,Lackey,ChC,SP,FWB,172,13,3.6,1.21,0
45,Matt,Harvey,NYM,SP,CV,104,6,3.91,1.26,0
46,Anthony,DeSclafani,Cin,SP,SHAW,161,11,3.83,1.23,0
47,Michael,Fulmer,Det,SP,GS,157,12,3.5,1.15,0
48,Drew,Pomeranz,Bos,SP,MS,154,12,3.59,1.25,0
49,Marcus,Stroman,Tor,SP,FWB,175,13,3.78,1.23,0
50,Drew,Smyly,Sea,SP,GS,192,11,3.89,1.22,0
51,Rich,Hill,LAD,SP,ROCK,136,10,2.86,1.14,0
52,David,Robertson,CWS,RP,SB,81,3,3.52,1.19,37
53,Kelvin,Herrera,KC,RP,SLUG,74,4,2.66,1.08,40
54,Hisashi,Iwakuma,Sea,SP,CV,147,11,3.96,1.23,0
55,Tanner,Roark,Wsh,SP,SHAW,152,13,3.74,1.25,0
56,Dallas,Keuchel,Hou,SP,MS,170,13,3.67,1.2,0
57,Dellin,Betances,NYY,RP,CV,110,5,2.22,1.05,37
58,Jake,Odorizzi,TB,SP,GS,169,11,3.78,1.21,0
59,Jeff,Samardzija,SF,SP,SB,163,12,3.85,1.21,0
60,Sonny,Gray,Oak,SP,ZADZ,135,9,3.93,1.25,0
61,Tony,Watson,Pit,RP,CV,66,4,3.18,1.07,41
62,Adam,Wainwright,StL,SP,SB,152,11,4.07,1.32,0
63,Alex,Colome,TB,RP,CV,75,4,2.53,1.08,41
64,Marco,Estrada,Tor,SP,FA,160,12,3.68,1.17,0
65,Aaron,Nola,Phi,SP,FA,133,8,3.79,1.23,0
66,Jon,Gray,Col,SP,ZADZ,186,12,3.9,1.34,0
67,Alex,Reyes,StL,SP,SHAW,152,8,3.89,1.36,0
68,Cody,Allen,Cle,RP,MS,83,4,2.61,1.12,33
69,Steven,Matz,NYM,SP,ROCK,148,11,3.27,1.2,0
70,Francisco,Rodriguez,Det,RP,SB,54,3,3,1.11,38
71,Carlos,Rodon,CWS,SP,MS,178,10,3.78,1.33,0
72,Raisel,Iglesias,Cin,RP,ROCK,88,4,3.04,1.14,27
73,J.A.,Happ,Tor,SP,FWB,156,12,3.71,1.28,0
74,Sean,Manaea,Oak,SP,SLUG,178,11,3.63,1.21,0
75,Gio,Gonzalez,Wsh,SP,FA,153,10,4.05,1.34,0
76,Sam,Dyson,Tex,RP,SHAW,55,4,3.25,1.25,33
77,Taijuan,Walker,Ari,SP,FA,148,9,4.23,1.28,0
78,Chris,Tillman,Bal,SP,SHAW,147,11,3.99,1.24,0
79,Vince,Velasquez,Phi,SP,MS,179,9,3.84,1.25,0
80,A.J.,Ramos,Mia,RP,MS,73,4,2.73,1.3,41
81,Jameson,Taillon,Pit,SP,ROCK,147,11,3.6,1.21,0
82,Matt,Shoemaker,LAA,SP,FA,178,11,3.78,1.18,0
83,Robbie,Ray,Ari,SP,FA,186,10,4.15,1.37,0
84,Ivan,Nova,Pit,SP,FA,139,11,3.83,1.25,0
85,Matt,Moore,SF,SP,CV,182,12,3.78,1.27,0
86,Michael,Pineda,NYY,SP,MS,206,11,3.86,1.22,0
87,Adam,Ottavino,Col,RP,FA,58,3,3,1.14,32
88,Eduardo,Rodriguez,Bos,SP,FWB,123,9,3.97,1.25,0
